id,year,issue_d,final_d,emp_length_int,home_ownership,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,purpose,purpose_cat,interest_payments,loan_condition,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
1062177,2011,01/12/2011,1062013,2,MORTGAGE,Low,44400,1,15000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,17.27,D,4,3.59,17991.53,15000,0,536.81,leinster
1049352,2011,01/12/2011,1042013,1,MORTGAGE,Low,100000,1,6600, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,9.91,B,2,15.53,7274.62,6600,0,212.69,leinster
1062976,2011,01/12/2011,1042013,10,RENT,Low,45000,1,4000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,19.91,E,5,15.2,1775.8,660.29,191.14,105.78,Northern-Irl
1058564,2011,01/12/2011,1122014,6,RENT,Low,57600,1,8000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,11.52,8765.098071,8000,0,243.49,ulster
1061837,2011,01/12/2011,1122014,7,RENT,Low,60000,1,15000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.03,A,1,12.78,16434.53801,15000,0,456.54,Northern-Irl
1023566,2011,01/12/2011,1022015,0.5,MORTGAGE,Medium,150000,2,26400, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,14.27,C,3,3.23,22493.50057,16725,0,391.51,leinster
1058892,2011,01/12/2011,1112012,2,OWN,Medium,108000,2,8000, 36 months,1,INDIVIDUAL,house,12,High,Bad Loan,15.27,C,3,12.48,3394.06,2064.97,340.57,278.39,ulster
1054165,2011,01/12/2011,1012016,1,RENT,Low,31200,1,12950, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,10.65,B,2,3.46,13646.93,10009.29,0,279.31,cannught
1047771,2011,01/12/2011,1122014,10,OWN,Medium,125000,2,15000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.9,A,1,10.64,16894.90271,15000,0,469.36,cannught
1052071,2011,01/12/2011,1012016,10,RENT,Low,52000,1,17200, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,20.89,F,6,7.06,22260.98,12201.38,0,464.26,leinster
1047014,2011,01/12/2011,1122014,10,MORTGAGE,Medium,170000,2,6000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.9,A,1,4.07,6757.848607,6000,0,187.75,Northern-Irl
1043408,2011,01/12/2011,1122014,7,MORTGAGE,High,365000,3,35000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,10.65,B,2,18.14,41037.5748,35000,0,1140.07,Northern-Irl
1045841,2011,01/12/2011,1092014,1,MORTGAGE,High,550000,3,35000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,14.27,C,3,4.34,42852.57908,35000,0,819.3,leinster
1043785,2011,01/12/2011,1012012,4,MORTGAGE,Low,75000,1,30000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,13.49,C,3,22.85,30338.69,30000,0,690.15,leinster
1036033,2011,01/12/2011,1102012,2,RENT,Low,30000,1,5800, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,17.58,D,4,1,1754.43,647.17,305.03,145.96,cannught
1039965,2011,01/12/2011,1052013,4,MORTGAGE,Low,40000,1,20000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,14.27,C,3,0.6,22325.39,20000,0,468.17,ulster
1038518,2011,01/12/2011,1012016,10,MORTGAGE,Low,60000,1,25000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,13.38,27086.69,19252.59,0,552.46,cannught
1031944,2011,01/12/2011,1042012,3,RENT,Low,50000,1,12100, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,17.27,D,4,11.5,12784.13,12100,0,302.48,munster
1025389,2011,01/11/2011,1062013,2,RENT,Low,28800,1,6000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,15.96,C,3,18.25,7147.69,6000,0,210.83,leinster
1032213,2011,01/12/2011,1052014,0.5,MORTGAGE,Low,57840,1,13500, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,12.42,B,2,9.05,16793.35057,13500,0,303.18,ulster
1030218,2011,01/11/2011,1022012,6.05,MORTGAGE,Low,39600,1,25000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,8.42,25485.79,25000,0,552.46,ulster
1019123,2011,01/11/2011,1092013,10,MORTGAGE,Low,95000,1,35000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,7.9,A,1,2.93,38590.3,35000,0,1095.16,ulster
1020621,2011,01/11/2011,1112013,0.5,MORTGAGE,Medium,191000,2,35000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,20.3,E,5,17.72,25126.3,9482.39,3686.85,933.14,leinster
1023555,2011,01/11/2011,1102014,9,MORTGAGE,Low,97500,1,35000, 60 months,2,INDIVIDUAL,house,12,High,Bad Loan,17.27,D,4,16.52,32471.77,16128.4,2727.98,874.93,Northern-Irl
1021844,2011,01/11/2011,1122014,8,MORTGAGE,Medium,106000,2,15000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,15.96,C,3,4.32,18964.80297,15000,0,527.06,leinster
1020936,2011,01/11/2011,1122015,10,MORTGAGE,Medium,120000,2,35000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,22.74,G,7,24,48076.74,25331.52,0,981.45,ulster
1018175,2011,01/11/2011,1122015,10,MORTGAGE,Low,72000,1,30000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,9.91,B,2,9.05,31166.52,23336.82,0,636.09,Northern-Irl
1019133,2011,01/11/2011,1122014,10,MORTGAGE,Medium,105000,2,5000, 36 months,1,INDIVIDUAL,house,12,High,Good Loan,14.65,C,3,3.36,6207.032959,5000,0,172.48,Northern-Irl
1018925,2011,01/11/2011,1122015,3,MORTGAGE,Medium,150000,2,14000, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,8.9,A,1,14.02,14138.75,10899.93,0,289.94,leinster
1017848,2011,01/11/2011,1032014,2,MORTGAGE,Low,36538,1,2500, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,6.62,A,1,7.26,2727.700098,2500,0,76.76,ulster
1017556,2011,01/11/2011,1122014,2,RENT,Medium,180000,2,15000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,12.42,B,2,4.15,18041.77416,15000.01,0,501.23,leinster
1017714,2011,01/11/2011,1012016,10,OWN,High,204000,3,35000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,19.91,E,5,15.36,45341.2,25759.46,0,925.54,cannught
1012030,2011,01/11/2011,1022012,5,MORTGAGE,Low,34800,1,3000, 36 months,1,INDIVIDUAL,house,12,Low,Good Loan,9.91,B,2,14.17,3072.71,3000,0,96.68,Northern-Irl
1012796,2011,01/11/2011,1122015,3,MORTGAGE,Low,35000,1,17500, 60 months,2,INDIVIDUAL,house,12,Low,Good Loan,11.71,B,2,15.15,18931.19,13473.61,0,386.72,cannught
1007227,2011,01/11/2011,1012016,10,MORTGAGE,Low,80000,1,21000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,13.49,C,3,7.51,23622.76,15998.48,0,483.1,cannught
812537,2011,01/11/2011,1052013,6,RENT,High,250000,3,35000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,21.67,F,6,14.25,45366.46,35000.01,0,960.11,ulster
1009474,2011,01/11/2011,1012016,7,MORTGAGE,Medium,156000,2,25000, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,18.25,D,4,5.85,32151.46,19656.85,0,638.25,ulster
1005146,2011,01/11/2011,1032015,4,MORTGAGE,Low,48000,1,17175, 60 months,2,INDIVIDUAL,house,12,High,Good Loan,18.25,D,4,10.75,24907.36117,17175,0,438.48,leinster
